app_id,platform,country,channel_id,sub_campaign_id,install_date,spend,revenue,clicks,impressions,installs
5f3f78ff34aaa53b5b19f747,ios,EG,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"0,3197092591",0,0,12
5f3f78ff34aaa53b5b19f747,android,MY,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"1,2110407878",0,0,18
5f3f78ff34aaa53b5b19f747,android,AR,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,155812878",0,0,12
5f3f78ff34aaa53b5b19f747,android,MX,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,6921373802",0,0,60
5f3f78ff34aaa53b5b19f747,android,TD,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0517307901",0,0,6
5f3f78ff34aaa53b5b19f747,ios,MX,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"2,3687874923",0,0,18
5f3f78ff34aaa53b5b19f747,android,CO,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0188409335",0,0,6
5f3f78ff34aaa53b5b19f747,android,ID,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-26,0,"0,391126852",0,0,30
5f3f78ff34aaa53b5b19f747,ios,KR,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-26,0,"3,5530422509",0,0,96
5f3f78ff34aaa53b5b19f747,android,OM,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0998654325",0,0,6
5f3f78ff34aaa53b5b19f747,android,KZ,0,N/A,2025-01-27,0,"0,0076215283",0,0,6
5f3f78ff34aaa53b5b19f747,android,VE,0,N/A,2025-01-27,0,"0,0031984307",0,0,6
5f3f78ff34aaa53b5b19f747,android,GY,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0004853357",0,0,6
5f3f78ff34aaa53b5b19f747,android,PK,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-25,0,"0,5678153265",0,0,18
5f3f78ff34aaa53b5b19f747,android,IQ,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-23,0,"0,0049401818",0,0,0
5f3f78ff34aaa53b5b19f747,ios,JP,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"1,3501965362",0,0,24
5f3f78ff34aaa53b5b19f747,android,IT,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0959315577",0,0,6
5f3f78ff34aaa53b5b19f747,ios,AU,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"0,6920188067",0,0,24
5f3f78ff34aaa53b5b19f747,ios,GB,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"0,2299307193",0,0,18
5f3f78ff34aaa53b5b19f747,ios,KE,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-26,0,"1,1485796533",0,0,6
5f3f78ff34aaa53b5b19f747,ios,CO,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-27,0,"0,2729285816",0,0,6
5f3f78ff34aaa53b5b19f747,android,ZA,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-25,0,"0,3143930293",0,0,6
5f3f78ff34aaa53b5b19f747,android,GH,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-27,0,"0,0481712509",0,0,78
5f3f78ff34aaa53b5b19f747,android,US,15,173411155837,2025-01-25,"14,502942","25,889919967",450,6594,156
5f3f78ff34aaa53b5b19f747,ios,GB,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-26,0,"4,6649309841",0,0,66
5f3f78ff34aaa53b5b19f747,android,MX,0,N/A,2025-01-25,0,"0,0385298568",0,0,18
5f3f78ff34aaa53b5b19f747,ios,CA,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-26,0,"2,9503377552",0,0,30
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-01-26,0,"1,6303651412",0,0,48
5f3f78ff34aaa53b5b19f747,android,JM,0,N/A,2025-01-26,0,"0,0500924361",0,0,12
5f3f78ff34aaa53b5b19f747,android,BR,0,N/A,2025-01-26,0,"0,1130975625",0,0,36
5f3f78ff34aaa53b5b19f747,ios,VN,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-26,0,"0,8082739135",0,0,66
5f3f78ff34aaa53b5b19f747,android,ID,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-25,0,"0,0243329857",0,0,48
5f3f78ff34aaa53b5b19f747,android,CN,0,N/A,2025-01-27,0,0,0,0,6
